codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005200351";"2921";"Installations de refroidissement évaporatif";"1.a";Enregistrement;"17200.000";kW;"23/12/2021"
"0005200351";"4718";"Supérieure ou égale à 50 t";"2.a";Autorisation;;;"23/12/2021"
"0003104213";"4718";"Supérieure ou égale à 35 t";"1.a";Autorisation;;;"21/10/2019"
"0005213757";"2220";"Supérieure à 10 t/j";"2.a";Enregistrement;"18.0";"t/j";
"0005213757";"2220";"Supérieure à 2 t/j, mais inférieure ou égale à 10 t/j";"2.b";"Déclaration avec contrôle";"5000.0";"t/j";
"0005203489";"2510";"Carrières (exploitation de)";"1";Autorisation;;;"14/06/2022"
"0005206881";"2713";"Métaux et déchets de métaux (transit)";"1";Enregistrement;"3750.0";"m2";
"0005206881";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"3750.0";"m2";
"0053319849";"2251";"Vins (préparation, conditionnement)";"1";Enregistrement;"54000.000";"hL/an";"08/07/2014"
"0053319849";"1510";"Entrepot enregistré";"2.b";Enregistrement;"210000.000";"m3";"08/07/2014"
"0005213861";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.a";Enregistrement;"400.0";kW;
"0005213861";"4734";"Produits pétroliers spécifiques et carburants de substitution";"2.c";"Déclaration avec contrôle";;;
"0005213861";"2521";"Centrale d'enrobage à chaud";"1";Enregistrement;;;
"0005213861";"4801";"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses";"2";Déclaration;"150.0";t;
"0005213861";"2915";"Chauffage (procédé de) fluide caloporteur organique combustible";"2";Déclaration;"3000.0";L;
"0005214027";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"1320.000";"m2";"05/12/2016"
"0003106849";"2760";"Autres installations que celles mentionnées au a";"2.b";Autorisation;;;"22/07/2021"
"0005200936";"4755";"Alcools de bouche d'origine agricole et leurs constituants (inflammables)";"2.a";Autorisation;;;"25/04/2025"
"0005200936";"2260";"Supérieure à 1 MW mais inférieure à 20 MW";"2.b";"Déclaration avec contrôle";"6.000";MW;"25/04/2025"
"0005200936";"2171";"Dépôts de fumiers, engrais et supports de culture";;Déclaration;"10000.000";"m3";"08/12/2021"
"0005200936";"2921";"Installations de refroidissement évaporatif";"1.b";"Déclaration avec contrôle";"2733.000";kW;"25/04/2025"
"0005200936";"4001";"Installations présentant un grand nombre de substances";;Autorisation;;;"25/04/2025"
"0005200936";"2910";Combustion;"B.2";Autorisation;"6.300";MW;"25/04/2025"
"0005200936";"2250";"Alcools,eaux de vie et liqueurs (production par distillation)";"2";Enregistrement;"715.000";"hl/j";"25/04/2025"
"0005200936";"4331";"Liquides inflammables de catégorie 2 ou catégorie 3";"2";Enregistrement;"473.000";t;"25/04/2025"
"0005200936";"4130";"Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation";"2.a";Autorisation;"26.000";t;"08/12/2021"
"0005207325";"2925";"Charge d'accumulateurs dégageant de l'hydrogène";"1";Déclaration;"96.0";kW;
"0005207325";"4718";"Gaz inflammables liquéfiés de catégorie 1 et 2";"2";"Déclaration avec contrôle";;;
"0005207325";"2251";"Vins (préparation, conditionnement)";"1";Enregistrement;"320000.0";"hL/an";
"0005207325";"1510";"Entrepot enregistré";"2.b";Enregistrement;"76782.0";"m3";
